,0,1,2,3
202001010506,三連単,9 → 10 → 1,42550,126
202001010507,単勝,1,250,1
202001010507,複勝,1br3br12,140br170br440,1br3br8
202001010507,枠連,1 - 3,890,3
202001010507,馬連,1 - 3,840,2
202001010507,ワイド,1 - 3br1 - 12br3 - 12,"380br1,090br1,620",2br15br19
202001010507,馬単,1 → 3,1210,2
202001010507,三連複,1 - 3 - 12,6180,22
202001010507,三連単,1 → 3 → 12,18650,60
202001010508,単勝,11,280,2
202001010508,複勝,11br12br6,120br260br110,2br5br1
202001010508,枠連,7 - 7,2470,8
202001010508,馬連,11 - 12,2330,8
202001010508,ワイド,11 - 12br6 - 11br6 - 12,690br210br490,9br1br6
202001010508,馬単,11 → 12,3870,15
202001010508,三連複,6 - 11 - 12,1670,4
202001010508,三連単,11 → 12 → 6,12050,28
202001010509,単勝,3,450,3
202001010509,複勝,3br9br2,170br140br420,4br2br6
202001010509,枠連,3 - 8,480,1
202001010509,馬連,3 - 9,710,2
202001010509,ワイド,3 - 9br2 - 3br2 - 9,"290br1,160br1,110",2br16br15
202001010509,馬単,3 → 9,1280,4
202001010509,三連複,2 - 3 - 9,4130,15
202001010509,三連単,3 → 9 → 2,15330,46
202001010510,単勝,12,2390,9
202001010510,複勝,12br7br4,470br270br260,8br5br4
202001010510,枠連,5 - 7,2060,9
202001010510,馬連,7 - 12,7800,31
202001010510,ワイド,7 - 12br4 - 12br4 - 7,"2,250br2,690br1,200",33br37br17
202001010510,馬単,12 → 7,20530,77
202001010510,三連複,4 - 7 - 12,19720,77
202001010510,三連単,12 → 7 → 4,155710,573
202001010511,単勝,10,360,2
202001010511,複勝,10br11br1,150br130br280,2br1br6
202001010511,枠連,6 - 7,470,1
202001010511,馬連,10 - 11,650,1
202001010511,ワイド,10 - 11br1 - 10br1 - 11,"260br1,050br840",1br12br10
202001010511,馬単,10 → 11,1190,1
202001010511,三連複,1 - 10 - 11,3150,8
202001010511,三連単,10 → 11 → 1,12250,26
202001010512,単勝,1,1450,6
202001010512,複勝,1br10br9,350br210br320,6br3br5
202001010512,枠連,1 - 8,2650,10
202001010512,馬連,1 - 10,4440,17
202001010512,ワイド,1 - 10br1 - 9br9 - 10,"1,410br1,950br1,200",17br24br14
202001010512,馬単,1 → 10,9400,34
202001010512,三連複,1 - 9 - 10,12670,47
202001010512,三連単,1 → 10 → 9,83650,273
202001010601,単勝,4,640,3
202001010601,複勝,4br2br1,150br100br350,3br1br6
202001010601,馬連,2 - 4,310,1
202001010601,ワイド,2 - 4br1 - 4br1 - 2,"180br1,210br600",2br14br7
202001010601,馬単,4 → 2,1150,5
202001010601,三連複,1 - 2 - 4,1830,5
